delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,dispatch_time_year,dispatch_time_month,dispatch_time_week,dispatch_time_day,dispatch_time_day_name,dispatch_time_hour,customer_id,delivery_time_hours,is_missing_driver,is_missing_zone,is_missing_delivery_time,negative_delivery_time_flag,same_minute_delivery_flag,delivery_time_outlier_flag,delivery_time_zscore,delivery_time_z_outlier_flag,order_weekday,order_month,late_delivery_flag,high_value_order_flag,is_unfulfilled,delivered_flag,driver_delivery_count,zone_volume,fulfillment_rate,driver_utilization
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59.904311,failed,17.26,1,0,1970-01-01 00:00:00.000000003,12.05,2024,6,25,18,Tuesday,10,C0567,,0,1,1,0,0,0,,0,,,0,0,1,0,9,,,9
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,ontime,10.34,1,0,1970-01-01 00:00:00.000000005,13.41,2025,1,2,11,Saturday,18,C0520,,0,1,1,0,0,0,,0,,,0,0,0,1,4,,,4
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32.366770,ontime,7.92,0,0,1970-01-01 00:00:00.000000004,8.51,2025,6,23,2,Monday,20,C0480,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08.103702,delayed,16.42,0,0,1970-01-01 00:00:00.000000004,13.62,2024,3,10,8,Friday,23,C0616,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34.131056,ontime,14.52,1,0,1970-01-01 00:00:00.000000004,9.22,2025,9,38,21,Sunday,11,C0276,,0,1,1,0,0,0,,0,,,0,0,0,1,11,,,11
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,delayed,13.84,0,0,1970-01-01 00:00:00.000000001,9.58,2024,9,37,11,Wednesday,12,C0366,,0,1,1,0,0,0,,0,,,0,0,0,1,8,,,8
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11.072850,delayed,32.72,0,0,1970-01-01 00:00:00.000000004,17.7,2024,1,2,9,Tuesday,13,C0303,,0,1,1,0,0,0,,0,,,0,0,0,1,4,,,4
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21.531162,ontime,7.16,1,0,1970-01-01 00:00:00.000000003,11.66,2024,8,34,22,Thursday,21,C0023,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,ontime,40.23,1,0,1970-01-01 00:00:00.000000003,15.78,2024,4,15,12,Friday,21,C0560,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29.151459,failed,9.85,1,0,1970-01-01 00:00:00.000000003,9.31,2025,9,39,22,Monday,19,C0186,,0,1,1,0,0,0,,0,,,0,0,1,0,4,,,4
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 02:29:05.367622,ontime,13.85,0,0,1970-01-01 00:00:00.000000004,15.17,2024,2,5,2,Friday,3,C0449,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05.387672,failed,16.96,3,0,,16.98,2024,12,52,26,Thursday,19,C0197,,0,1,1,0,0,0,,0,,,0,0,1,0,2,,,2
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30.834127,ontime,6.01,2,0,1970-01-01 00:00:00.000000003,11.52,2025,1,4,26,Sunday,8,C0578,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.795700,ontime,16.46,0,0,1970-01-01 00:00:00.000000003,11.74,2024,5,19,7,Tuesday,12,C0153,,0,1,1,0,0,0,,0,,,0,0,0,1,13,,,13
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56.080634,ontime,26.58,3,0,1970-01-01 00:00:00.000000004,21.64,2024,8,33,16,Friday,22,C0479,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00.780258,ontime,18.25,1,0,1970-01-01 00:00:00.000000005,12.61,2025,6,24,12,Thursday,1,C0006,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42.086626,delayed,20.79,0,0,1970-01-01 00:00:00.000000001,15.62,2024,8,34,25,Sunday,18,C0572,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 09:54:19.874248,ontime,13.67,0,0,1970-01-01 00:00:00.000000004,16.18,2025,7,31,29,Tuesday,10,C0374,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41.272083,ontime,16.35,4,0,1970-01-01 00:00:00.000000004,13.97,2024,6,26,25,Tuesday,23,C0336,,0,1,1,0,0,0,,0,,,0,0,0,1,11,,,11
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,ontime,24.31,0,0,1970-01-01 00:00:00.000000004,12.61,2025,3,13,29,Saturday,12,C0478,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52.916514,ontime,9.77,4,0,1970-01-01 00:00:00.000000004,6.43,2025,4,17,24,Thursday,14,C0300,,0,1,1,0,0,0,,0,,,0,0,0,1,10,,,10
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39.715444,failed,15.81,0,0,1970-01-01 00:00:00.000000003,15.62,2025,8,34,24,Sunday,0,C0492,,0,1,1,0,0,0,,0,,,0,0,1,0,9,,,9
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11.392658,ontime,4.29,1,0,1970-01-01 00:00:00.000000005,2.5,2025,6,24,12,Thursday,1,C0606,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44.601237,ontime,8.58,0,0,1970-01-01 00:00:00.000000004,14.62,2025,8,34,19,Tuesday,14,C0216,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15.665186,ontime,7.41,0,0,1970-01-01 00:00:00.000000005,7.2,2025,9,37,8,Monday,19,C0542,,0,1,1,0,0,0,,0,,,0,0,0,1,8,,,8
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45.831712,failed,14.27,2,0,1970-01-01 00:00:00.000000002,10.04,2025,2,6,4,Tuesday,11,C0480,,0,1,1,0,0,0,,0,,,0,0,1,0,5,,,5
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2024-01-02 00:13:30.937528,ontime,13.27,0,0,1970-01-01 00:00:00.000000004,9.05,2024,1,1,1,Monday,3,C0152,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00.393100,delayed,15.53,2,0,1970-01-01 00:00:00.000000002,13.05,2024,11,46,12,Tuesday,15,C0476,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,2024-05-15 04:38:00.000000,ontime,9.43,1,0,1970-01-01 00:00:00.000000003,8.72,2024,5,20,15,Wednesday,6,C0075,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2024-06-16 19:22:12.494298,ontime,7.71,1,0,1970-01-01 00:00:00.000000004,16.42,2024,6,24,16,Sunday,18,C0490,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2025-07-23 23:21:38.152021,ontime,12.06,0,0,1970-01-01 00:00:00.000000004,14.98,2025,7,30,23,Wednesday,23,C0347,,0,1,1,0,0,0,,0,,,0,0,0,1,8,,,8
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,ontime,15.58,1,0,1970-01-01 00:00:00.000000004,13.75,2025,1,5,29,Wednesday,2,C0171,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,2024-11-19 06:51:25.201294,failed,11.72,0,1,1970-01-01 00:00:00.000000004,18.12,2024,11,46,17,Sunday,14,C0338,,0,1,1,0,0,0,,0,,,0,0,1,0,4,,,4
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2025-06-19 05:14:57.054608,delayed,14.68,0,0,1970-01-01 00:00:00.000000004,9.44,2025,6,25,18,Wednesday,12,C0581,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,2025-05-22 01:56:14.948650,ontime,22.05,0,0,1970-01-01 00:00:00.000000004,14.78,2025,5,21,21,Wednesday,21,C0473,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12.967657,ontime,15.77,1,0,1970-01-01 00:00:00.000000004,13.68,2024,11,45,8,Friday,22,C0331,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2025-05-16 02:10:07.723523,ontime,23.49,1,0,1970-01-01 00:00:00.000000004,11.21,2025,5,20,15,Thursday,2,C0482,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,2025-10-26 16:43:11.478296,failed,8.82,2,0,1970-01-01 00:00:00.000000003,13.21,2025,10,43,26,Sunday,15,C0499,,0,1,1,0,0,0,,0,,,0,0,1,0,9,,,9
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2025-07-27 04:22:45.664955,failed,17.13,1,0,1970-01-01 00:00:00.000000002,16.3,2025,7,30,26,Saturday,15,C0504,,0,1,1,0,0,0,,0,,,0,0,1,0,6,,,6
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2025-02-02 04:04:35.282288,failed,9.53,1,0,1970-01-01 00:00:00.000000001,11.11,2025,2,5,1,Saturday,8,C0619,,0,1,1,0,0,0,,0,,,0,0,1,0,6,,,6
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,2024-02-01 19:53:37.396269,failed,15.88,3,1,1970-01-01 00:00:00.000000002,13.19,2024,2,5,1,Thursday,8,C0368,,0,1,1,0,0,0,,0,,,0,0,1,0,8,,,8
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,ontime,12.02,0,0,1970-01-01 00:00:00.000000004,11.41,2024,10,40,4,Friday,1,C0141,,0,1,1,0,0,0,,0,,,0,0,0,1,8,,,8
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,2024-12-04 20:31:28.589644,ontime,11.94,0,0,1970-01-01 00:00:00.000000004,11.81,2024,12,49,4,Wednesday,15,C0224,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2024-07-12 12:20:42.900637,ontime,4.63,0,0,1970-01-01 00:00:00.000000004,12.87,2024,7,28,12,Friday,9,C0096,,0,1,1,0,0,0,,0,,,0,0,0,1,10,,,10
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2025-11-07 21:03:01.572726,ontime,10.61,1,0,1970-01-01 00:00:00.000000005,14.13,2025,11,45,7,Friday,0,C0139,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,2025-10-31 06:59:41.392827,ontime,5.53,2,0,1970-01-01 00:00:00.000000003,11.27,2025,10,44,30,Thursday,7,C0633,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00047,O00263,D045,V091,H06,2024-02-19 04:07:00,2024-02-19 03:46:04.685358,ontime,16.33,0,0,1970-01-01 00:00:00.000000005,10.25,2024,2,8,19,Monday,4,C0031,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00048,O00358,D045,V093,H05,2024-03-20 13:40:00,2024-03-20 18:11:50.892104,delayed,7.37,0,0,1970-01-01 00:00:00.000000003,14.67,2024,3,12,20,Wednesday,13,C0273,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00049,O01076,D091,V018,H02,2024-09-29 01:23:00,2024-09-29 07:46:30.295652,ontime,12.55,0,0,1970-01-01 00:00:00.000000003,6.93,2024,9,39,29,Sunday,1,C0035,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00050,O00534,D065,V046,H06,2025-09-05 05:03:00,2025-09-05 03:24:00.000000,ontime,26.85,0,0,1970-01-01 00:00:00.000000005,14.34,2025,9,36,5,Friday,5,C0159,,0,1,1,0,0,0,,0,,,0,0,0,1,2,,,2
DL00051,O00785,D150,V055,H07,2025-12-31 17:27:00,2025-12-31 18:05:52.415764,ontime,8.02,0,0,1970-01-01 00:00:00.000000004,14.59,2025,12,1,31,Wednesday,17,C0378,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00052,O00554,D168,V020,H08,2025-05-06 10:37:00,2025-05-06 20:57:25.303009,delayed,26.380000000000003,1,1,1970-01-01 00:00:00.000000002,24.54,2025,5,19,6,Tuesday,10,C0117,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00053,O00302,D018,V099,H01,2025-07-10 18:38:00,2025-07-11 17:06:29.590655,ontime,14.14,0,0,1970-01-01 00:00:00.000000003,10.32,2025,7,28,10,Thursday,18,C0558,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00054,O01044,D117,V079,H01,2025-02-14 07:41:00,2025-02-14 20:37:54.180405,delayed,29.8,1,0,1970-01-01 00:00:00.000000004,22.28,2025,2,7,14,Friday,7,C0190,,0,1,1,0,0,0,,0,,,0,0,0,1,10,,,10
DL00055,O00819,D069,V018,H04,2025-04-28 21:37:00,2025-04-29 04:45:04.624638,delayed,35.07,5,1,1970-01-01 00:00:00.000000002,22.2,2025,4,18,28,Monday,21,C0098,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00056,O00698,D137,V081,H08,2024-10-22 21:45:00,2024-10-22 22:00:19.303026,ontime,13.46,2,0,1970-01-01 00:00:00.000000004,6.52,2024,10,43,22,Tuesday,21,C0550,,0,1,1,0,0,0,,0,,,0,0,0,1,4,,,4
DL00057,O00921,D141,V077,H04,2024-12-09 10:53:00,2024-12-09 20:18:39.821307,failed,10.91,0,0,1970-01-01 00:00:00.000000001,6.59,2024,12,50,9,Monday,10,C0448,,0,1,1,0,0,0,,0,,,0,0,1,0,9,,,9
DL00058,O01062,D125,V082,H02,2024-10-26 18:46:00,2024-10-26 22:22:57.920354,ontime,15.33,0,0,1970-01-01 00:00:00.000000005,7.95,2024,10,43,26,Saturday,18,C0559,,0,1,1,0,0,0,,0,,,0,0,0,1,8,,,8
DL00059,O00521,D027,V088,H05,2025-11-26 14:07:00,2025-11-26 18:49:47.422787,delayed,36.28,3,0,1970-01-01 00:00:00.000000003,17.45,2025,11,48,26,Wednesday,14,C0109,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00060,O00236,D005,V026,H02,2024-11-26 16:01:00,,delayed,13.92,1,1,1970-01-01 00:00:00.000000002,9.48,2024,11,48,26,Tuesday,16,C0429,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00061,O00635,D083,V059,H08,2024-12-06 06:18:00,2024-12-06 05:02:21.529834,ontime,10.51,1,0,1970-01-01 00:00:00.000000003,10.6,2024,12,49,6,Friday,6,C0314,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00062,O00567,D061,V007,H02,2024-02-24 16:31:00,2024-02-25 15:31:54.277282,ontime,1.2,0,0,1970-01-01 00:00:00.000000005,7.32,2024,2,8,24,Saturday,16,C0144,,0,1,1,0,0,0,,0,,,0,0,0,1,4,,,4
DL00063,O00931,D154,V094,H03,2024-03-07 11:20:00,2024-03-07 15:02:37.855092,ontime,15.95,0,0,1970-01-01 00:00:00.000000005,14.6,2024,3,10,7,Thursday,11,C0213,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00064,O01236,D075,V004,H03,2025-05-30 00:35:00,2025-05-30 23:36:22.924966,delayed,10.36,0,0,1970-01-01 00:00:00.000000002,7.13,2025,5,22,30,Friday,0,C0543,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00065,O01234,D050,V065,H01,2024-02-24 01:55:00,2024-02-24 01:52:27.078194,ontime,1.67,1,0,1970-01-01 00:00:00.000000004,6.2,2024,2,8,24,Saturday,1,C0163,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00066,O00568,D118,V083,H01,2025-12-19 20:41:00,2025-12-20 00:15:32.806881,ontime,22.39,0,0,1970-01-01 00:00:00.000000004,18.25,2025,12,51,19,Friday,20,C0412,,0,1,1,0,0,0,,0,,,0,0,0,1,4,,,4
DL00067,O00842,D152,V023,H01,2025-07-04 04:43:00,2025-07-04 14:29:14.573095,ontime,12.34,1,0,1970-01-01 00:00:00.000000004,11.04,2025,7,27,4,Friday,4,C0588,,0,1,1,0,0,0,,0,,,0,0,0,1,3,,,3
DL00068,O00828,D104,V046,H08,2024-02-19 15:15:00,2024-02-21 03:47:37.311854,failed,19.75,1,0,1970-01-01 00:00:00.000000003,16.14,2024,2,8,19,Monday,15,C0025,,0,1,1,0,0,0,,0,,,0,0,1,0,7,,,7
DL00069,O01039,D010,V074,H07,2025-05-01 11:46:00,2025-05-01 19:43:03.174703,failed,16.76,1,0,1970-01-01 00:00:00.000000004,10.73,2025,5,18,1,Thursday,11,C0171,,0,1,1,0,0,0,,0,,,0,0,1,0,7,,,7
DL00070,O00370,D018,V036,H07,2024-11-21 18:37:00,2024-11-21 21:57:39.434015,ontime,16.35,0,0,1970-01-01 00:00:00.000000004,18.11,2024,11,47,21,Thursday,18,C0021,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00071,O00796,D093,V080,H02,2025-01-28 06:57:00,2025-01-28 22:41:11.982767,delayed,20.37,1,0,1970-01-01 00:00:00.000000003,18.14,2025,1,5,28,Tuesday,6,C0385,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00072,O00402,D110,V027,H05,2025-11-20 06:20:00,2025-11-20 19:21:38.642714,delayed,28.51,0,0,1970-01-01 00:00:00.000000003,15.11,2025,11,47,20,Thursday,6,C0104,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00073,O00421,D141,V092,H08,2025-07-23 07:06:00,2025-07-24 05:47:40.524208,ontime,19.34,3,0,1970-01-01 00:00:00.000000004,17.54,2025,7,30,23,Wednesday,7,C0599,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00074,O01195,D030,V092,H04,2025-01-04 08:41:00,2025-01-05 00:01:18.848212,failed,17.61,1,0,1970-01-01 00:00:00.000000004,14.79,2025,1,1,4,Saturday,8,C0529,,0,1,1,0,0,0,,0,,,0,0,1,0,7,,,7
DL00075,O01239,D169,V047,H02,2024-08-06 04:24:00,2024-08-06 05:22:04.347228,ontime,13.25,3,0,1970-01-01 00:00:00.000000003,11.94,2024,8,32,6,Tuesday,4,C0392,,0,1,1,0,0,0,,0,,,0,0,0,1,2,,,2
DL00076,O00815,D120,V004,H01,2024-02-25 17:02:00,2024-02-26 17:44:41.639612,ontime,27.51,3,0,1970-01-01 00:00:00.000000005,15.16,2024,2,8,25,Sunday,17,C0347,,0,1,1,0,0,0,,0,,,0,0,0,1,8,,,8
DL00077,O01040,D094,V067,H04,2025-12-27 22:16:00,2025-12-28 11:51:46.015071,delayed,32.97,3,0,1970-01-01 00:00:00.000000002,18.07,2025,12,52,27,Saturday,22,C0290,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00078,O00173,D144,V088,H02,2025-02-18 08:26:00,2025-02-19 03:34:49.179226,failed,10.92,1,0,1970-01-01 00:00:00.000000002,9.05,2025,2,8,18,Tuesday,8,C0371,,0,1,1,0,0,0,,0,,,0,0,1,0,5,,,5
DL00079,O00920,D009,V102,H08,2024-08-01 12:06:00,2024-08-01 23:56:00.561663,ontime,7.18,0,0,1970-01-01 00:00:00.000000004,12.79,2024,8,31,1,Thursday,12,C0242,,0,1,1,0,0,0,,0,,,0,0,0,1,5,,,5
DL00080,O01137,D030,V022,H04,2025-10-14 08:21:00,2025-10-14 08:32:00.000000,ontime,16.29,0,0,1970-01-01 00:00:00.000000004,14.17,2025,10,42,14,Tuesday,8,C0213,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00081,O00716,D166,V056,H04,2024-10-22 06:38:00,2024-10-22 19:18:42.594052,delayed,9.77,1,1,1970-01-01 00:00:00.000000003,12.68,2024,10,43,22,Tuesday,6,C0072,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00082,O00669,D008,V048,H03,2025-07-15 15:38:00,2025-07-16 00:44:17.490179,ontime,3.98,1,0,1970-01-01 00:00:00.000000004,5.86,2025,7,29,15,Tuesday,15,C0529,,0,1,1,0,0,0,,0,,,0,0,0,1,8,,,8
DL00083,O00451,D053,V043,H05,2025-02-15 18:28:00,2025-02-16 13:33:28.440507,delayed,2.13,0,0,1970-01-01 00:00:00.000000001,11.27,2025,2,7,15,Saturday,18,C0012,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00084,O00784,D063,V117,H05,2025-03-07 03:24:00,2025-03-08 07:43:35.335286,failed,6.83,0,0,1970-01-01 00:00:00.000000003,9.07,2025,3,10,7,Friday,3,C0308,,0,1,1,0,0,0,,0,,,0,0,1,0,3,,,3
DL00085,O00160,D127,V032,H06,2024-08-20 19:18:00,,ontime,9.49,5,0,1970-01-01 00:00:00.000000003,16.32,2024,8,34,20,Tuesday,19,C0478,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00086,O01013,D159,V063,H02,2025-08-22 17:32:00,2025-08-22 19:39:11.266878,ontime,17.4,0,0,1970-01-01 00:00:00.000000003,12.23,2025,8,34,22,Friday,17,C0185,,0,1,1,0,0,0,,0,,,0,0,0,1,3,,,3
DL00087,O00630,D034,V099,H07,2025-03-28 15:08:00,2025-03-28 15:28:40.004969,ontime,17.98,0,0,1970-01-01 00:00:00.000000004,13.23,2025,3,13,28,Friday,15,C0369,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00088,O00657,D088,V043,H04,2024-02-28 23:43:00,2024-02-29 03:16:11.448581,ontime,5.99,0,0,1970-01-01 00:00:00.000000004,2.5,2024,2,9,28,Wednesday,23,C0135,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00089,O00241,D010,V112,H03,2025-04-01 15:27:00,2025-04-01 20:28:34.310529,failed,8.27,0,0,1970-01-01 00:00:00.000000002,6.94,2025,4,14,1,Tuesday,15,C0117,,0,1,1,0,0,0,,0,,,0,0,1,0,7,,,7
DL00090,O01097,D027,V065,H04,2024-07-14 23:21:00,2024-07-15 09:00:31.809183,ontime,33.86,3,0,1970-01-01 00:00:00.000000004,24.2,2024,7,28,14,Sunday,23,C0390,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00091,O00941,D116,V044,H04,2024-08-12 15:04:00,2024-08-12 14:48:31.759538,ontime,14.47,0,0,1970-01-01 00:00:00.000000005,10.57,2024,8,33,12,Monday,15,C0571,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00092,O00736,D105,V016,H01,2024-01-25 00:39:00,2024-01-25 10:47:51.400345,ontime,7.66,1,0,1970-01-01 00:00:00.000000004,8.17,2024,1,4,25,Thursday,0,C0390,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00093,O00579,D028,V032,H05,2025-09-05 12:14:00,2025-09-05 12:49:10.392527,ontime,19.68,3,0,1970-01-01 00:00:00.000000003,18.64,2025,9,36,5,Friday,12,C0624,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00094,O01026,D034,V012,H04,2025-05-26 22:56:00,2025-05-27 09:41:42.033675,delayed,4.66,0,0,1970-01-01 00:00:00.000000003,16.6,2025,5,22,26,Monday,22,C0309,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00095,O00416,D031,V005,H08,2024-01-07 23:00:00,2024-01-07 21:37:11.579245,ontime,28.69,1,0,1970-01-01 00:00:00.000000005,13.48,2024,1,1,7,Sunday,23,C0552,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00096,O00961,D077,V110,H01,2025-03-18 16:23:00,,delayed,1.2,0,0,1970-01-01 00:00:00.000000003,2.61,2025,3,12,18,Tuesday,16,C0307,,0,1,1,0,0,0,,0,,,0,0,0,1,7,,,7
DL00097,O00794,D170,V109,H07,2024-07-16 22:51:00,2024-07-18 01:52:17.414330,failed,10.54,1,0,1970-01-01 00:00:00.000000003,3.56,2024,7,29,16,Tuesday,22,C0415,,0,1,1,0,0,0,,0,,,0,0,1,0,4,,,4
DL00098,O00631,D004,V072,H07,2025-07-05 09:16:00,2025-07-05 15:47:44.173074,failed,3.86,1,0,1970-01-01 00:00:00.000000004,15.58,2025,7,27,5,Saturday,9,C0574,,0,1,1,0,0,0,,0,,,0,0,1,0,9,,,9
DL00099,O00835,D127,V093,H01,2024-05-26 18:57:00,2024-05-26 21:53:38.872935,ontime,5.6,2,0,1970-01-01 00:00:00.000000004,13.26,2024,5,21,26,Sunday,18,C0317,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
DL00100,O00205,D120,V097,H05,2025-02-05 16:42:00,2025-02-06 07:09:53.748167,failed,8.64,0,0,1970-01-01 00:00:00.000000003,13.47,2025,2,6,5,Wednesday,16,C0246,,0,1,1,0,0,0,,0,,,0,0,1,0,8,,,8
DL00101,O00354,D141,V115,H06,2025-12-02 18:06:00,2025-12-02 19:18:47.006775,ontime,21.63,0,0,1970-01-01 00:00:00.000000004,14.3,2025,12,49,2,Tuesday,18,C0154,,0,1,1,0,0,0,,0,,,0,0,0,1,9,,,9
DL00102,O00578,D031,V022,H02,2024-03-04 09:56:00,2024-03-04 13:51:57.810092,delayed,9.18,0,0,1970-01-01 00:00:00.000000003,11.31,2024,3,10,4,Monday,9,C0639,,0,1,1,0,0,0,,0,,,0,0,0,1,6,,,6
