order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,pickup_zone_standardized,dropoff_zone_standardized
O00001,C0292,Passenger,2024-08-20 14:43:00,6,Airport,South,Medium,1970-01-01 00:00:00.000000126,App,0,Airport,South Zone
O00002,C0459,Passenger,2024-05-14 22:16:00,24,North,AIRPORT,Low,1970-01-01 00:00:00.000000109,App,0,North Zone,Airport
O00003,C0161,Passenger,2025-09-02 14:37:00,4,West,AIRPORT,High,1970-01-01 00:00:00.000000033,Phone,0,West Zone,Airport
O00004,C0520,Parcel,2025-01-11 17:15:00,2,RiverSide,North,Medium,1970-01-01 00:00:00.000000010,App,1,Riverside,North Zone
O00005,C0558,Retail,2025-02-17 19:32:00,12,Riverside,SOUTH,Low,1970-01-01 00:00:00.000000125,Phone,0,Riverside,South Zone
O00006,C0437,Retail,2024-08-05 04:55:00,1,CENTRAL,East,High,1970-01-01 00:00:00.000000151,Web,1,Central Zone,East Zone
O00007,C0001,Business,2024-05-05 21:32:00,2,CENTRAL,Airport,Low,1970-01-01 00:00:00.000000076,App,0,Central Zone,Airport
O00008,C0157,Parcel,2024-04-03 17:54:00,4,Riverside,Riverside,Medium,1970-01-01 00:00:00.000000035,Phone,0,Riverside,Riverside
O00009,C0141,Retail,2024-10-03 23:49:00,12,NORTH,East,Critical,1970-01-01 00:00:00.000000078,App,0,North Zone,East Zone
O00010,C0171,Retail,2025-01-29 00:42:00,6,South,north,Low,1970-01-01 00:00:00.000000034,Phone,0,South Zone,North Zone
O00011,C0340,Parcel,2025-08-04 04:19:00,12,WEST,Central,Low,1970-01-01 00:00:00.000000079,Phone,0,West Zone,Central Zone
O00012,C0567,Business,2024-01-16 12:45:00,12,East,Airport,Medium,1970-01-01 00:00:00.000000135,App,0,East Zone,Airport
O00013,C0234,Retail,2024-03-29 22:11:00,24,Airport,Central,Medium,1970-01-01 00:00:00.000000302,App,0,Airport,Central Zone
O00014,C0318,Passenger,2024-08-25 10:12:00,6,Ctr,Ctr,Low,1970-01-01 00:00:00.000000090,Phone,0,Ctr,Ctr
O00015,C0300,Business,2025-11-09 03:04:00,6,SOUTH,East,High,1970-01-01 00:00:00.000000145,Web,0,South Zone,East Zone
O00016,C0022,Parcel,2025-07-29 11:51:00,6,Central,Ctr,Medium,1970-01-01 00:00:00.000000092,App,0,Central Zone,Ctr
O00017,C0499,Parcel,2025-05-27 09:12:00,24,AIRPORT,South,Low,1970-01-01 00:00:00.000000060,App,0,Airport,South Zone
O00018,C0506,Passenger,2024-03-08 22:19:00,6,NORTH,Riverside,High,1970-01-01 00:00:00.000000121,Phone,0,North Zone,Riverside
O00019,C0425,Passenger,2024-03-31 07:18:00,6,North,CENTRAL,Low,1970-01-01 00:00:00.000000056,Phone,0,North Zone,Central Zone
O00020,C0249,Retail,2024-05-09 22:25:00,2,West,AIRPORT,Medium,1970-01-01 00:00:00.000000100,App,0,West Zone,Airport
O00021,C0218,Passenger,2024-10-16 11:25:00,2,WEST,NORTH,Medium,1970-01-01 00:00:00.000000049,Web,0,West Zone,North Zone
O00022,C0594,Retail,2025-04-20 20:56:00,12,RiverSide,CENTRAL,Medium,1970-01-01 00:00:00.000000134,Phone,0,Riverside,Central Zone
O00023,C0077,Passenger,2025-10-05 04:59:00,4,north,north,Medium,1970-01-01 00:00:00.000000122,App,0,North Zone,North Zone
O00024,C0397,Passenger,2024-10-10 05:01:00,6,South,Riverside,High,1970-01-01 00:00:00.000000132,App,1,South Zone,Riverside
O00025,C0297,Passenger,2025-01-10 21:51:00,6,North,RiverSide,Critical,1970-01-01 00:00:00.000000066,App,0,North Zone,Riverside
O00026,C0193,Parcel,2025-11-10 22:22:00,24,East,West,High,1970-01-01 00:00:00.000000051,App,0,East Zone,West Zone
O00027,C0024,Parcel,2025-02-26 00:42:00,4,Riverside,north,Medium,1970-01-01 00:00:00.000000096,App,0,Riverside,North Zone
O00028,C0160,Retail,2025-12-21 22:29:00,4,NORTH,South,High,1970-01-01 00:00:00.000000059,App,0,North Zone,South Zone
O00029,C0366,Medical,2024-09-11 12:22:00,24,EAST,Ctr,Medium,1970-01-01 00:00:00.000000190,Web,0,East Zone,Ctr
O00030,C0406,Medical,2025-10-05 03:11:00,12,north,EAST,Low,1970-01-01 00:00:00.000000044,App,0,North Zone,East Zone
O00031,C0573,Passenger,2024-10-25 03:17:00,24,EAST,AIRPORT,Medium,1970-01-01 00:00:00.000000055,App,0,East Zone,Airport
O00032,C0297,Passenger,2025-09-15 23:14:00,1,CENTRAL,East,Medium,1970-01-01 00:00:00.000000126,App,1,Central Zone,East Zone
O00033,C0471,Retail,2025-12-30 21:02:00,6,NORTH,East,Low,1970-01-01 00:00:00.000000036,Phone,1,North Zone,East Zone
O00034,C0023,Retail,2025-02-18 01:38:00,2,North,South,Low,1970-01-01 00:00:00.000000040,App,0,North Zone,South Zone
O00035,C0524,Business,2024-06-14 13:12:00,4,north,CENTRAL,Medium,1970-01-01 00:00:00.000000209,Web,0,North Zone,Central Zone
O00036,C0126,Parcel,2024-11-06 04:24:00,4,Riverside,North,Medium,1970-01-01 00:00:00.000000073,App,0,Riverside,North Zone
O00037,C0015,Retail,2024-02-10 17:19:00,24,EAST,Airport,Low,1970-01-01 00:00:00.000000119,Phone,0,East Zone,Airport
O00038,C0142,Retail,2025-10-06 20:11:00,2,Riverside,EAST,Medium,1970-01-01 00:00:00.000000168,Phone,0,Riverside,East Zone
O00039,C0351,Parcel,2025-08-01 07:36:00,6,East,RiverSide,Low,1970-01-01 00:00:00.000000054,Web,1,East Zone,Riverside
O00040,C0014,Parcel,2025-05-24 22:33:00,1,North,AIRPORT,Low,1970-01-01 00:00:00.000000074,App,0,North Zone,Airport
O00041,C0243,Retail,2024-09-17 13:42:00,12,RiverSide,West,Low,1970-01-01 00:00:00.000000019,App,0,Riverside,West Zone
O00042,C0606,Retail,2025-12-01 18:22:00,24,Riverside,Ctr,Medium,1970-01-01 00:00:00.000000133,Phone,1,Riverside,Ctr
O00043,C0416,Retail,2024-01-01 03:53:00,12,EAST,RiverSide,Medium,1970-01-01 00:00:00.000000048,API,0,East Zone,Riverside
O00044,C0227,Business,2025-11-02 09:57:00,4,West,Riverside,Medium,1970-01-01 00:00:00.000000061,Phone,1,West Zone,Riverside
O00045,C0326,Parcel,2024-02-13 18:38:00,6,SOUTH,AIRPORT,Critical,1970-01-01 00:00:00.000000056,App,0,South Zone,Airport
O00046,C0538,Parcel,2025-12-13 01:15:00,4,NORTH,CENTRAL,High,1970-01-01 00:00:00.000000085,App,0,North Zone,Central Zone
O00047,C0220,Medical,2025-11-28 03:02:00,2,WEST,north,Medium,1970-01-01 00:00:00.000000039,App,0,West Zone,North Zone
O00048,C0145,Medical,2024-11-22 06:49:00,4,RiverSide,NORTH,Low,1970-01-01 00:00:00.000000043,App,0,Riverside,North Zone
